Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high °C (°F),38.2(100.8),44.0(111.2),45.0(113.0),45.6(114.1),45.1(113.2),43.5(110.3),41.0(105.8),39.6(103.3),41.8(107.2),41.2(106.2),40.7(105.3),40.0(104.0),45.6(114.1)
Average high °C (°F),32.5(90.5),35.7(96.3),39.1(102.4),40.9(105.6),40.2(104.4),37.2(99.0),34.0(93.2),33.0(91.4),34.4(93.9),37.8(100.0),36.2(97.2),33.3(91.9),36.2(97.2)
Daily mean °C (°F),24.3(75.7),27.3(81.1),30.9(87.6),33.8(92.8),34.0(93.2),31.5(88.7),29.0(84.2),27.9(82.2),29.0(84.2),30.8(87.4),27.9(82.2),25.0(77.0),29.3(84.7)
Average low °C (°F),16.1(61.0),19.0(66.2),22.9(73.2),26.5(79.7),27.7(81.9),25.7(78.3),24.1(75.4),23.2(73.8),23.6(74.5),24.2(75.6),19.5(67.1),16.7(62.1),22.4(72.3)
Record low °C (°F),12.6(54.7),14.3(57.7),18.0(64.4),21.6(70.9),22.6(72.7),20.5(68.9),20.0(68.0),20.2(68.4),20.3(68.5),15.8(60.4),13.0(55.4),12.6(54.7),12.6(54.7)
Average precipitation mm (inches),0.0(0.0),0.0(0.0),3.9(0.15),5.7(0.22),34.7(1.37),68.8(2.71),154.3(6.07),170.8(6.72),92.2(3.63),9.7(0.38),0.7(0.03),0.0(0.0),540.8(21.28)
Average precipitation days (≥ 1.0 mm),0.0,0.0,0.2,0.8,2.9,5.9,9.9,12.2,7.4,1.6,0.1,0.0,41
Average relative humidity (%),22,17,18,27,42,55,67,74,73,53,34,27,42
Mean monthly sunshine hours,280,264,264,251,257,251,238,203,228,285,285,276,"3,082"
